Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	14
hsa:7157	hsa:1643	Gen A	14
hsa:7157	hsa:578	Gen A	14
hsa:7157	hsa:581	Gen A	14
hsa:7157	hsa:10912	Gen A	10
hsa:7157	hsa:1647	Gen A	10
hsa:7157	hsa:4616	Gen A	10
hsa:7157	hsa:1026	Gen A	14
hsa:7157	hsa:6774	Gen A	12
hsa:7157	hsa:6776	Gen A	12
hsa:7157	hsa:6777	Gen A	12
hsa:7157	hsa:3718	Gen A	10
hsa:7157	hsa:238	Gen B	48
hsa:7157	hsa:27436	Gen B	48
hsa:7157	hsa:3265	Gen B	36
hsa:7157	hsa:3845	Gen B	32
hsa:7157	hsa:4893	Gen B	36
hsa:7157	hsa:5290	Gen A	6
hsa:7157	hsa:5291	Gen A	6
hsa:7157	hsa:5293	Gen A	6
hsa:7157	hsa:83593	Gen B	34
hsa:7157	hsa:369	Gen B	12
hsa:7157	hsa:5894	Gen B	12
hsa:7157	hsa:673	Gen B	12
hsa:7157	hsa:5295	Gen A	6
hsa:7157	hsa:5296	Gen A	6
hsa:7157	hsa:8503	Gen A	6
hsa:7157	hsa:5604	Gen B	6
hsa:7157	hsa:5605	Gen B	6
hsa:7157	hsa:5594	Gen B	2
hsa:7157	hsa:5595	Gen B	2
hsa:7157	hsa:595	Gen A	2
hsa:7157	hsa:10000	Gen A	6
hsa:7157	hsa:207	Gen A	6
hsa:7157	hsa:208	Gen A	6
hsa:7157	hsa:2309	Gen A	16
hsa:7157	hsa:842	Gen A	16
hsa:7157	hsa:572	Gen A	16
hsa:7157	hsa:1019	Gen A	2
hsa:7157	hsa:1021	Gen A	2
hsa:7157	hsa:1029	Gen A	2
hsa:7157	hsa:11186	Gen B	36
hsa:7157	hsa:6789	Gen B	36
hsa:7157	hsa:6654	Gen B	40
hsa:7157	hsa:6655	Gen B	40
hsa:7157	hsa:2885	Gen B	42
hsa:7157	hsa:5170	Gen A	4
hsa:7157	hsa:6256	Gen A	10
hsa:7157	hsa:6257	Gen A	10
hsa:7157	hsa:6258	Gen A	10
hsa:7157	hsa:5915	Gen A	10
hsa:7157	hsa:1950	Gen B	52
hsa:7157	hsa:2064	Gen B	48
hsa:7157	hsa:1956	Gen B	48
hsa:7157	hsa:5335	Gen A	14
hsa:7157	hsa:5336	Gen A	14
hsa:7157	hsa:5925	Gen A	2
hsa:7157	hsa:7039	Gen B	52
hsa:7157	hsa:1869	Gen A	2
hsa:7157	hsa:1870	Gen A	2
hsa:7157	hsa:1871	Gen A	2
hsa:7157	hsa:5578	Gen B	18
hsa:7157	hsa:5579	Gen B	18
hsa:7157	hsa:5582	Gen B	18
hsa:51426	hsa:1643	Draw	0
hsa:51426	hsa:578	Draw	0
hsa:51426	hsa:581	Draw	0
hsa:51426	hsa:10912	Gen B	4
hsa:51426	hsa:1647	Gen B	4
hsa:51426	hsa:4616	Gen B	4
hsa:51426	hsa:1026	Draw	0
hsa:51426	hsa:6774	Gen B	4
hsa:51426	hsa:6776	Gen B	4
hsa:51426	hsa:6777	Gen B	4
hsa:51426	hsa:3718	Gen B	6
hsa:51426	hsa:238	Gen B	64
hsa:51426	hsa:27436	Gen B	64
hsa:51426	hsa:3265	Gen B	52
hsa:51426	hsa:3845	Gen B	48
hsa:51426	hsa:4893	Gen B	52
hsa:51426	hsa:5290	Gen B	10
hsa:51426	hsa:5291	Gen B	10
hsa:51426	hsa:5293	Gen B	10
hsa:51426	hsa:83593	Gen B	50
hsa:51426	hsa:369	Gen B	28
hsa:51426	hsa:5894	Gen B	28
hsa:51426	hsa:673	Gen B	28
hsa:51426	hsa:5295	Gen B	10
hsa:51426	hsa:5296	Gen B	10
hsa:51426	hsa:8503	Gen B	10
hsa:51426	hsa:5604	Gen B	22
hsa:51426	hsa:5605	Gen B	22
hsa:51426	hsa:5594	Gen B	18
hsa:51426	hsa:5595	Gen B	18
hsa:51426	hsa:595	Gen B	14
hsa:51426	hsa:10000	Gen B	10
hsa:51426	hsa:207	Gen B	10
hsa:51426	hsa:208	Gen B	10
hsa:51426	hsa:2309	Draw	0
hsa:51426	hsa:842	Draw	0
hsa:51426	hsa:572	Draw	0
hsa:51426	hsa:1019	Gen B	14
hsa:51426	hsa:1021	Gen B	14
hsa:51426	hsa:1029	Gen B	14
hsa:51426	hsa:11186	Gen B	52
hsa:51426	hsa:6789	Gen B	52
hsa:51426	hsa:6654	Gen B	56
hsa:51426	hsa:6655	Gen B	56
hsa:51426	hsa:2885	Gen B	58
hsa:51426	hsa:5170	Gen B	12
hsa:51426	hsa:6256	Gen B	6
hsa:51426	hsa:6257	Gen B	6
hsa:51426	hsa:6258	Gen B	6
hsa:51426	hsa:5915	Gen B	6
hsa:51426	hsa:1950	Gen B	68
hsa:51426	hsa:2064	Gen B	64
