Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	14
hsa:7157	hsa:1643	Gen A	14
hsa:7157	hsa:578	Gen A	14
hsa:7157	hsa:581	Gen A	14
hsa:7157	hsa:10912	Gen A	10
hsa:7157	hsa:1647	Gen A	10
hsa:7157	hsa:4616	Gen A	10
hsa:7157	hsa:1026	Gen A	14
hsa:7157	hsa:51176	Gen A	6
hsa:7157	hsa:6932	Gen A	6
hsa:7157	hsa:6934	Gen A	6
hsa:7157	hsa:83439	Gen A	6
hsa:7157	hsa:595	Gen A	16
hsa:7157	hsa:4609	Gen A	16
hsa:7157	hsa:10342	Gen B	6
hsa:7157	hsa:4914	Gen B	6
hsa:7157	hsa:7170	Gen B	6
hsa:7157	hsa:7175	Gen B	6
hsa:7157	hsa:3265	Gen A	2
hsa:7157	hsa:3845	Gen A	2
hsa:7157	hsa:4893	Gen A	2
hsa:7157	hsa:5979	Gen B	4
hsa:7157	hsa:8030	Gen B	4
hsa:7157	hsa:8031	Gen B	4
hsa:7157	hsa:673	Gen A	8
hsa:7157	hsa:5604	Gen A	10
hsa:7157	hsa:5605	Gen A	10
hsa:7157	hsa:5594	Gen A	14
hsa:7157	hsa:5595	Gen A	14
hsa:7157	hsa:1499	Gen A	2
hsa:7157	hsa:999	Gen A	2
hsa:7157	hsa:5468	Gen A	8
hsa:7157	hsa:7849	Gen A	8
hsa:7157	hsa:6256	Gen A	8
hsa:7157	hsa:6257	Gen A	8
hsa:7157	hsa:6258	Gen A	8
hsa:51426	hsa:1643	Draw	0
hsa:51426	hsa:578	Draw	0
hsa:51426	hsa:581	Draw	0
hsa:51426	hsa:10912	Gen B	4
hsa:51426	hsa:1647	Gen B	4
hsa:51426	hsa:4616	Gen B	4
hsa:51426	hsa:1026	Draw	0
hsa:51426	hsa:51176	Gen B	10
hsa:51426	hsa:6932	Gen B	10
hsa:51426	hsa:6934	Gen B	10
hsa:51426	hsa:83439	Gen B	10
hsa:51426	hsa:595	Draw	0
hsa:51426	hsa:4609	Draw	0
hsa:51426	hsa:10342	Gen B	22
hsa:51426	hsa:4914	Gen B	22
hsa:51426	hsa:7170	Gen B	22
hsa:51426	hsa:7175	Gen B	22
hsa:51426	hsa:3265	Gen B	14
hsa:51426	hsa:3845	Gen B	14
hsa:51426	hsa:4893	Gen B	14
hsa:51426	hsa:5979	Gen B	20
hsa:51426	hsa:8030	Gen B	20
hsa:51426	hsa:8031	Gen B	20
hsa:51426	hsa:673	Gen B	8
hsa:51426	hsa:5604	Gen B	6
hsa:51426	hsa:5605	Gen B	6
hsa:51426	hsa:5594	Gen B	2
hsa:51426	hsa:5595	Gen B	2
hsa:51426	hsa:1499	Gen B	14
hsa:51426	hsa:999	Gen B	14
hsa:51426	hsa:5468	Gen B	8
hsa:51426	hsa:7849	Gen B	8
hsa:51426	hsa:6256	Gen B	8
hsa:51426	hsa:6257	Gen B	8
hsa:51426	hsa:6258	Gen B	8
hsa:1643	hsa:578	Draw	0
hsa:1643	hsa:581	Draw	0
hsa:1643	hsa:10912	Gen B	4
hsa:1643	hsa:1647	Gen B	4
hsa:1643	hsa:4616	Gen B	4
hsa:1643	hsa:1026	Draw	0
hsa:1643	hsa:51176	Gen B	10
hsa:1643	hsa:6932	Gen B	10
hsa:1643	hsa:6934	Gen B	10
hsa:1643	hsa:83439	Gen B	10
hsa:1643	hsa:595	Draw	0
hsa:1643	hsa:4609	Draw	0
hsa:1643	hsa:10342	Gen B	22
hsa:1643	hsa:4914	Gen B	22
hsa:1643	hsa:7170	Gen B	22
hsa:1643	hsa:7175	Gen B	22
hsa:1643	hsa:3265	Gen B	14
hsa:1643	hsa:3845	Gen B	14
hsa:1643	hsa:4893	Gen B	14
hsa:1643	hsa:5979	Gen B	20
hsa:1643	hsa:8030	Gen B	20
hsa:1643	hsa:8031	Gen B	20
hsa:1643	hsa:673	Gen B	8
hsa:1643	hsa:5604	Gen B	6
hsa:1643	hsa:5605	Gen B	6
hsa:1643	hsa:5594	Gen B	2
hsa:1643	hsa:5595	Gen B	2
hsa:1643	hsa:1499	Gen B	14
hsa:1643	hsa:999	Gen B	14
hsa:1643	hsa:5468	Gen B	8
hsa:1643	hsa:7849	Gen B	8
hsa:1643	hsa:6256	Gen B	8
hsa:1643	hsa:6257	Gen B	8
hsa:1643	hsa:6258	Gen B	8
hsa:578	hsa:581	Draw	0
hsa:578	hsa:10912	Gen B	4
hsa:578	hsa:1647	Gen B	4
hsa:578	hsa:4616	Gen B	4
hsa:578	hsa:1026	Draw	0
hsa:578	hsa:51176	Gen B	10
hsa:578	hsa:6932	Gen B	10
hsa:578	hsa:6934	Gen B	10
hsa:578	hsa:83439	Gen B	10
hsa:578	hsa:595	Draw	0
hsa:578	hsa:4609	Draw	0
hsa:578	hsa:10342	Gen B	22
