Gen A	Gen B	Winner	Strength
hsa:55274	hsa:8110	Draw	0
hsa:55274	hsa:8193	Draw	0
hsa:55274	hsa:196528	Draw	0
hsa:55274	hsa:6602	Draw	0
hsa:55274	hsa:6603	Draw	0
hsa:55274	hsa:6604	Draw	0
hsa:55274	hsa:51412	Draw	0
hsa:55274	hsa:86	Draw	0
hsa:55274	hsa:60	Draw	0
hsa:55274	hsa:71	Draw	0
hsa:55274	hsa:29117	Draw	0
hsa:55274	hsa:6605	Gen B	8
hsa:55274	hsa:55193	Draw	0
hsa:55274	hsa:57492	Draw	0
hsa:55274	hsa:8289	Draw	0
hsa:55274	hsa:5290	Gen A	15
hsa:55274	hsa:5291	Gen A	15
hsa:55274	hsa:5293	Gen A	15
hsa:55274	hsa:5295	Gen A	15
hsa:55274	hsa:5296	Gen A	15
hsa:55274	hsa:8503	Gen A	15
hsa:55274	hsa:2549	Gen A	14
hsa:55274	hsa:1019	Gen A	13
hsa:55274	hsa:1021	Gen A	13
hsa:55274	hsa:595	Gen A	13
hsa:55274	hsa:1869	Gen A	13
hsa:55274	hsa:1870	Gen A	13
hsa:55274	hsa:1871	Gen A	13
hsa:55274	hsa:5925	Gen A	13
hsa:55274	hsa:1029	Gen A	13
hsa:55274	hsa:572	Gen A	19
hsa:55274	hsa:598	Gen A	20
hsa:55274	hsa:9817	Gen B	5
hsa:55274	hsa:4780	Gen B	4
hsa:55274	hsa:7015	Gen A	19
hsa:55274	hsa:7012	Gen A	19
hsa:55274	hsa:10587	Gen A	18
hsa:55274	hsa:114112	Gen A	18
hsa:55274	hsa:7296	Gen A	18
hsa:55274	hsa:119391	Gen A	2
hsa:55274	hsa:221357	Gen A	2
hsa:55274	hsa:2938	Gen A	2
hsa:55274	hsa:2939	Gen A	2
hsa:55274	hsa:2940	Gen A	2
hsa:55274	hsa:2941	Gen A	2
hsa:55274	hsa:2944	Gen A	2
hsa:55274	hsa:2946	Gen A	2
hsa:55274	hsa:2947	Gen A	2
hsa:55274	hsa:2948	Gen A	2
hsa:55274	hsa:2949	Gen A	2
hsa:55274	hsa:2950	Gen A	2
hsa:55274	hsa:2952	Gen A	2
hsa:55274	hsa:2953	Gen A	2
hsa:55274	hsa:4257	Gen A	2
hsa:55274	hsa:4258	Gen A	2
hsa:55274	hsa:4259	Gen A	2
hsa:55274	hsa:653689	Gen A	2
hsa:55274	hsa:9446	Gen A	2
hsa:55274	hsa:1728	Gen A	20
hsa:55274	hsa:3162	Gen A	20
hsa:55274	hsa:6595	Draw	0
hsa:55274	hsa:6597	Draw	0
hsa:55274	hsa:6599	Draw	0
hsa:55274	hsa:6601	Draw	0
hsa:55274	hsa:6598	Draw	0
hsa:55274	hsa:4233	Draw	0
hsa:55274	hsa:2885	Gen A	8
hsa:55274	hsa:3082	Gen B	1
hsa:55274	hsa:4087	Gen A	13
hsa:55274	hsa:4088	Gen A	13
hsa:55274	hsa:7048	Gen A	13
hsa:55274	hsa:7046	Gen A	13
hsa:55274	hsa:4089	Gen A	13
