Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	16
hsa:7157	hsa:1643	Gen A	16
hsa:7157	hsa:578	Gen A	16
hsa:7157	hsa:581	Gen A	16
hsa:7157	hsa:10912	Gen A	14
hsa:7157	hsa:1647	Gen A	14
hsa:7157	hsa:4616	Gen A	14
hsa:7157	hsa:1026	Gen B	2
hsa:7157	hsa:3265	Gen B	8
hsa:7157	hsa:3845	Gen B	8
hsa:7157	hsa:4893	Gen B	8
hsa:7157	hsa:5290	Gen A	12
hsa:7157	hsa:5291	Gen A	12
hsa:7157	hsa:5293	Gen A	12
hsa:7157	hsa:5295	Gen A	12
hsa:7157	hsa:5296	Gen A	12
hsa:7157	hsa:8503	Gen A	12
hsa:7157	hsa:369	Gen A	1
hsa:7157	hsa:5894	Gen A	1
hsa:7157	hsa:673	Gen A	1
hsa:7157	hsa:5604	Gen A	4
hsa:7157	hsa:5605	Gen A	4
hsa:7157	hsa:5594	Gen A	6
hsa:7157	hsa:5595	Gen A	6
hsa:7157	hsa:1019	Gen A	7
hsa:7157	hsa:595	Gen A	3
hsa:7157	hsa:1021	Gen A	7
hsa:7157	hsa:1029	Gen A	6
hsa:7157	hsa:10000	Gen A	14
hsa:7157	hsa:207	Gen A	14
hsa:7157	hsa:208	Gen A	14
hsa:7157	hsa:572	Gen A	17
hsa:7157	hsa:5925	Gen A	4
hsa:7157	hsa:1869	Gen A	7
hsa:7157	hsa:1870	Gen A	7
hsa:7157	hsa:1871	Gen A	7
hsa:7157	hsa:4193	Gen A	16
hsa:7157	hsa:1950	Gen B	39
hsa:7157	hsa:2246	Gen B	39
hsa:7157	hsa:2247	Gen B	39
hsa:7157	hsa:2248	Gen B	39
hsa:7157	hsa:2249	Gen B	39
hsa:7157	hsa:2250	Gen B	39
hsa:7157	hsa:2251	Gen B	39
hsa:7157	hsa:2252	Gen B	39
hsa:7157	hsa:2253	Gen B	39
hsa:7157	hsa:2254	Gen B	39
hsa:7157	hsa:2255	Gen B	39
hsa:7157	hsa:26281	Gen B	39
hsa:7157	hsa:26291	Gen B	39
hsa:7157	hsa:27006	Gen B	39
hsa:7157	hsa:3082	Gen B	39
hsa:7157	hsa:3479	Gen B	39
hsa:7157	hsa:5154	Gen B	39
hsa:7157	hsa:5155	Gen B	39
hsa:7157	hsa:56034	Gen B	39
hsa:7157	hsa:80310	Gen B	39
hsa:7157	hsa:8074	Gen B	39
hsa:7157	hsa:8817	Gen B	39
hsa:7157	hsa:8822	Gen B	39
hsa:7157	hsa:8823	Gen B	39
hsa:7157	hsa:9965	Gen B	39
hsa:7157	hsa:1956	Gen B	14
hsa:7157	hsa:2260	Gen B	14
hsa:7157	hsa:3480	Gen B	14
