Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	7
hsa:7157	hsa:1643	Gen A	7
hsa:7157	hsa:578	Gen A	7
hsa:7157	hsa:581	Gen A	7
hsa:7157	hsa:10912	Gen A	5
hsa:7157	hsa:1647	Gen A	5
hsa:7157	hsa:4616	Gen A	5
hsa:7157	hsa:1026	Gen A	7
hsa:7157	hsa:6198	Gen A	7
hsa:7157	hsa:6199	Gen A	7
hsa:7157	hsa:2475	Gen A	6
hsa:7157	hsa:1956	Gen B	5
hsa:7157	hsa:2064	Gen B	5
hsa:7157	hsa:3716	Gen B	5
hsa:7157	hsa:5290	Gen B	5
hsa:7157	hsa:5291	Gen B	5
hsa:7157	hsa:5293	Gen B	5
hsa:7157	hsa:5295	Gen B	5
hsa:7157	hsa:5296	Gen B	5
hsa:7157	hsa:8503	Gen B	5
hsa:7157	hsa:675	Gen A	7
hsa:7157	hsa:5888	Gen A	7
hsa:7157	hsa:4087	Gen A	1
hsa:7157	hsa:4088	Gen A	1
hsa:7157	hsa:4089	Gen A	1
hsa:7157	hsa:7046	Gen A	1
hsa:7157	hsa:7048	Gen A	1
hsa:7157	hsa:7040	Gen A	1
hsa:7157	hsa:7042	Gen A	1
hsa:7157	hsa:7043	Gen A	1
hsa:7157	hsa:1869	Gen A	1
hsa:7157	hsa:1870	Gen A	1
hsa:7157	hsa:1871	Gen A	1
hsa:7157	hsa:5925	Gen A	1
hsa:7157	hsa:1019	Gen A	1
hsa:7157	hsa:1021	Gen A	1
hsa:7157	hsa:595	Gen A	1
hsa:7157	hsa:1029	Gen A	1
hsa:7157	hsa:4790	Gen A	6
hsa:7157	hsa:5970	Gen A	6
hsa:7157	hsa:7422	Gen A	8
hsa:7157	hsa:6772	Gen A	7
hsa:7157	hsa:6774	Gen A	7
hsa:7157	hsa:10000	Gen B	6
hsa:7157	hsa:207	Gen B	6
hsa:7157	hsa:208	Gen B	6
hsa:7157	hsa:598	Gen A	8
hsa:7157	hsa:1950	Gen B	5
hsa:7157	hsa:7039	Gen B	5
hsa:7157	hsa:5879	Gen A	2
hsa:7157	hsa:5880	Gen A	2
hsa:7157	hsa:5881	Gen A	2
hsa:7157	hsa:998	Gen A	2
hsa:7157	hsa:10928	Gen A	1
hsa:7157	hsa:5898	Gen B	2
hsa:7157	hsa:5899	Gen B	2
hsa:7157	hsa:5337	Gen A	8
hsa:7157	hsa:5900	Gen B	3
hsa:7157	hsa:5599	Gen A	6
hsa:7157	hsa:5601	Gen A	6
hsa:7157	hsa:5602	Gen A	6
hsa:7157	hsa:5604	Gen A	3
hsa:7157	hsa:5594	Gen A	7
hsa:7157	hsa:5595	Gen A	7
hsa:7157	hsa:369	Draw	0
hsa:7157	hsa:5894	Draw	0
hsa:7157	hsa:673	Draw	0
hsa:7157	hsa:572	Gen A	7
hsa:7157	hsa:1147	Gen A	3
hsa:7157	hsa:3551	Gen A	3
hsa:7157	hsa:8517	Gen A	3
hsa:7157	hsa:842	Gen A	8
hsa:7157	hsa:9459	Gen A	1
hsa:7157	hsa:3845	Gen B	26
hsa:51426	hsa:1643	Draw	0
hsa:51426	hsa:578	Draw	0
hsa:51426	hsa:581	Draw	0
hsa:51426	hsa:10912	Gen B	2
hsa:51426	hsa:1647	Gen B	2
hsa:51426	hsa:4616	Gen B	2
hsa:51426	hsa:1026	Draw	0
hsa:51426	hsa:6198	Gen B	1
hsa:51426	hsa:6199	Gen B	1
hsa:51426	hsa:2475	Gen B	2
hsa:51426	hsa:1956	Gen B	13
hsa:51426	hsa:2064	Gen B	13
hsa:51426	hsa:3716	Gen B	13
hsa:51426	hsa:5290	Gen B	13
hsa:51426	hsa:5291	Gen B	13
hsa:51426	hsa:5293	Gen B	13
hsa:51426	hsa:5295	Gen B	13
hsa:51426	hsa:5296	Gen B	13
hsa:51426	hsa:8503	Gen B	13
hsa:51426	hsa:675	Gen B	1
hsa:51426	hsa:5888	Gen B	1
hsa:51426	hsa:4087	Gen B	7
hsa:51426	hsa:4088	Gen B	7
hsa:51426	hsa:4089	Gen B	7
hsa:51426	hsa:7046	Gen B	7
hsa:51426	hsa:7048	Gen B	7
hsa:51426	hsa:7040	Gen B	7
hsa:51426	hsa:7042	Gen B	7
hsa:51426	hsa:7043	Gen B	7
hsa:51426	hsa:1869	Gen B	7
hsa:51426	hsa:1870	Gen B	7
hsa:51426	hsa:1871	Gen B	7
hsa:51426	hsa:5925	Gen B	7
hsa:51426	hsa:1019	Gen B	7
hsa:51426	hsa:1021	Gen B	7
hsa:51426	hsa:595	Gen B	7
hsa:51426	hsa:1029	Gen B	7
hsa:51426	hsa:4790	Gen B	2
hsa:51426	hsa:5970	Gen B	2
hsa:51426	hsa:7422	Draw	0
hsa:51426	hsa:6772	Gen B	1
hsa:51426	hsa:6774	Gen B	1
hsa:51426	hsa:10000	Gen B	14
hsa:51426	hsa:207	Gen B	14
hsa:51426	hsa:208	Gen B	14
hsa:51426	hsa:598	Draw	0
hsa:51426	hsa:1950	Gen B	13
hsa:51426	hsa:7039	Gen B	13
hsa:51426	hsa:5879	Gen B	6
hsa:51426	hsa:5880	Gen B	6
hsa:51426	hsa:5881	Gen B	6
hsa:51426	hsa:998	Gen B	6
hsa:51426	hsa:10928	Gen B	7
hsa:51426	hsa:5898	Gen B	10
hsa:51426	hsa:5899	Gen B	10
hsa:51426	hsa:5337	Draw	0
hsa:51426	hsa:5900	Gen B	11
hsa:51426	hsa:5599	Gen B	2
hsa:51426	hsa:5601	Gen B	2
hsa:51426	hsa:5602	Gen B	2
hsa:51426	hsa:5604	Gen B	5
hsa:51426	hsa:5594	Gen B	1
hsa:51426	hsa:5595	Gen B	1
hsa:51426	hsa:369	Gen B	8
hsa:51426	hsa:5894	Gen B	8
hsa:51426	hsa:673	Gen B	8
hsa:51426	hsa:572	Gen B	1
hsa:51426	hsa:1147	Gen B	5
hsa:51426	hsa:3551	Gen B	5
hsa:51426	hsa:8517	Gen B	5
hsa:51426	hsa:842	Draw	0
hsa:51426	hsa:9459	Gen B	7
hsa:51426	hsa:3845	Gen B	34
hsa:1643	hsa:578	Draw	0
hsa:1643	hsa:581	Draw	0
hsa:1643	hsa:10912	Gen B	2
hsa:1643	hsa:1647	Gen B	2
hsa:1643	hsa:4616	Gen B	2
hsa:1643	hsa:1026	Draw	0
hsa:1643	hsa:6198	Gen B	1
hsa:1643	hsa:6199	Gen B	1
hsa:1643	hsa:2475	Gen B	2
hsa:1643	hsa:1956	Gen B	13
hsa:1643	hsa:2064	Gen B	13
hsa:1643	hsa:3716	Gen B	13
hsa:1643	hsa:5290	Gen B	13
hsa:1643	hsa:5291	Gen B	13
hsa:1643	hsa:5293	Gen B	13
hsa:1643	hsa:5295	Gen B	13
hsa:1643	hsa:5296	Gen B	13
hsa:1643	hsa:8503	Gen B	13
