Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	7
hsa:7157	hsa:1643	Gen A	7
hsa:7157	hsa:578	Gen A	7
hsa:7157	hsa:581	Gen A	7
hsa:7157	hsa:10912	Gen A	5
hsa:7157	hsa:1647	Gen A	5
hsa:7157	hsa:4616	Gen A	5
hsa:7157	hsa:1026	Gen A	7
hsa:7157	hsa:1030	Gen B	9
hsa:7157	hsa:595	Gen B	9
hsa:7157	hsa:6502	Gen B	9
hsa:7157	hsa:1027	Gen B	9
hsa:7157	hsa:4790	Gen B	26
hsa:7157	hsa:5970	Gen B	26
hsa:7157	hsa:4843	Gen A	8
hsa:7157	hsa:5743	Gen A	8
hsa:7157	hsa:7185	Gen A	3
hsa:7157	hsa:7186	Gen A	3
hsa:7157	hsa:7187	Gen A	3
hsa:7157	hsa:7188	Gen A	3
hsa:7157	hsa:7189	Gen A	3
hsa:7157	hsa:9618	Gen A	3
hsa:7157	hsa:598	Gen A	8
hsa:7157	hsa:112401	Gen A	4
hsa:7157	hsa:329	Gen A	4
hsa:7157	hsa:330	Gen A	4
hsa:7157	hsa:331	Gen A	4
hsa:7157	hsa:79444	Gen A	4
hsa:7157	hsa:1019	Gen B	9
hsa:7157	hsa:1021	Gen B	9
hsa:7157	hsa:5925	Gen B	9
hsa:7157	hsa:1869	Gen B	9
hsa:7157	hsa:1870	Gen B	9
hsa:7157	hsa:1871	Gen B	9
hsa:7157	hsa:4792	Gen B	26
hsa:7157	hsa:1147	Gen B	29
hsa:7157	hsa:3551	Gen B	29
hsa:7157	hsa:8517	Gen B	29
hsa:7157	hsa:596	Gen A	7
hsa:7157	hsa:10319	Gen B	23
hsa:7157	hsa:1282	Gen B	23
hsa:7157	hsa:1284	Gen B	23
hsa:7157	hsa:1285	Gen B	23
hsa:7157	hsa:1286	Gen B	23
hsa:7157	hsa:1287	Gen B	23
hsa:7157	hsa:1288	Gen B	23
hsa:7157	hsa:22798	Gen B	23
hsa:7157	hsa:2335	Gen B	23
hsa:7157	hsa:284217	Gen B	23
hsa:7157	hsa:3908	Gen B	23
hsa:7157	hsa:3909	Gen B	23
hsa:7157	hsa:3910	Gen B	23
hsa:7157	hsa:3911	Gen B	23
hsa:7157	hsa:3912	Gen B	23
hsa:7157	hsa:3913	Gen B	23
hsa:7157	hsa:3914	Gen B	23
hsa:7157	hsa:3915	Gen B	23
hsa:7157	hsa:3918	Gen B	23
hsa:7157	hsa:3688	Gen B	23
hsa:7157	hsa:54205	Gen A	6
hsa:7157	hsa:842	Gen A	7
hsa:7157	hsa:5290	Gen A	3
hsa:7157	hsa:5291	Gen A	3
hsa:7157	hsa:5293	Gen A	3
hsa:7157	hsa:5295	Gen A	3
hsa:7157	hsa:5296	Gen A	3
hsa:7157	hsa:8503	Gen A	3
hsa:7157	hsa:5747	Gen B	23
hsa:7157	hsa:1163	Gen B	9
hsa:7157	hsa:1164	Gen B	9
hsa:7157	hsa:4609	Gen B	9
hsa:7157	hsa:7709	Gen B	9
hsa:7157	hsa:4149	Gen B	9
hsa:7157	hsa:317	Gen A	6
hsa:7157	hsa:836	Gen A	8
hsa:7157	hsa:10000	Gen B	32
hsa:7157	hsa:207	Gen B	32
hsa:7157	hsa:208	Gen B	32
hsa:7157	hsa:6256	Gen A	5
hsa:7157	hsa:6257	Gen A	5
hsa:7157	hsa:6258	Gen A	5
hsa:7157	hsa:5915	Gen A	5
hsa:7157	hsa:898	Gen B	9
hsa:7157	hsa:9134	Gen B	9
hsa:7157	hsa:3655	Gen B	23
hsa:7157	hsa:3673	Gen B	23
hsa:7157	hsa:3674	Gen B	23
hsa:7157	hsa:3675	Gen B	23
hsa:7157	hsa:3685	Gen B	23
hsa:7157	hsa:1017	Gen B	9
hsa:51426	hsa:1643	Draw	0
hsa:51426	hsa:578	Draw	0
hsa:51426	hsa:581	Draw	0
hsa:51426	hsa:10912	Gen B	2
hsa:51426	hsa:1647	Gen B	2
hsa:51426	hsa:4616	Gen B	2
hsa:51426	hsa:1026	Draw	0
hsa:51426	hsa:1030	Gen B	17
hsa:51426	hsa:595	Gen B	17
hsa:51426	hsa:6502	Gen B	17
hsa:51426	hsa:1027	Gen B	17
hsa:51426	hsa:4790	Gen B	34
hsa:51426	hsa:5970	Gen B	34
hsa:51426	hsa:4843	Draw	0
hsa:51426	hsa:5743	Draw	0
hsa:51426	hsa:7185	Gen B	5
hsa:51426	hsa:7186	Gen B	5
hsa:51426	hsa:7187	Gen B	5
hsa:51426	hsa:7188	Gen B	5
hsa:51426	hsa:7189	Gen B	5
hsa:51426	hsa:9618	Gen B	5
hsa:51426	hsa:598	Draw	0
hsa:51426	hsa:112401	Gen B	4
hsa:51426	hsa:329	Gen B	4
hsa:51426	hsa:330	Gen B	4
hsa:51426	hsa:331	Gen B	4
hsa:51426	hsa:79444	Gen B	4
hsa:51426	hsa:1019	Gen B	17
hsa:51426	hsa:1021	Gen B	17
hsa:51426	hsa:5925	Gen B	17
hsa:51426	hsa:1869	Gen B	17
hsa:51426	hsa:1870	Gen B	17
hsa:51426	hsa:1871	Gen B	17
hsa:51426	hsa:4792	Gen B	34
hsa:51426	hsa:1147	Gen B	37
hsa:51426	hsa:3551	Gen B	37
hsa:51426	hsa:8517	Gen B	37
hsa:51426	hsa:596	Gen B	1
hsa:51426	hsa:10319	Gen B	31
hsa:51426	hsa:1282	Gen B	31
hsa:51426	hsa:1284	Gen B	31
hsa:51426	hsa:1285	Gen B	31
hsa:51426	hsa:1286	Gen B	31
hsa:51426	hsa:1287	Gen B	31
hsa:51426	hsa:1288	Gen B	31
hsa:51426	hsa:22798	Gen B	31
hsa:51426	hsa:2335	Gen B	31
hsa:51426	hsa:284217	Gen B	31
hsa:51426	hsa:3908	Gen B	31
hsa:51426	hsa:3909	Gen B	31
hsa:51426	hsa:3910	Gen B	31
hsa:51426	hsa:3911	Gen B	31
hsa:51426	hsa:3912	Gen B	31
hsa:51426	hsa:3913	Gen B	31
hsa:51426	hsa:3914	Gen B	31
hsa:51426	hsa:3915	Gen B	31
hsa:51426	hsa:3918	Gen B	31
hsa:51426	hsa:3688	Gen B	31
hsa:51426	hsa:54205	Gen B	2
hsa:51426	hsa:842	Gen B	1
hsa:51426	hsa:5290	Gen B	5
hsa:51426	hsa:5291	Gen B	5
hsa:51426	hsa:5293	Gen B	5
hsa:51426	hsa:5295	Gen B	5
hsa:51426	hsa:5296	Gen B	5
hsa:51426	hsa:8503	Gen B	5
hsa:51426	hsa:5747	Gen B	31
hsa:51426	hsa:1163	Gen B	17
hsa:51426	hsa:1164	Gen B	17
hsa:51426	hsa:4609	Gen B	17
hsa:51426	hsa:7709	Gen B	17
hsa:51426	hsa:4149	Gen B	17
hsa:51426	hsa:317	Gen B	2
hsa:51426	hsa:836	Draw	0
hsa:51426	hsa:10000	Gen B	40
