Gen A	Gen B	Winner	Strength
hsa:369	hsa:5894	Draw	0
hsa:369	hsa:673	Draw	0
hsa:369	hsa:5604	Gen A	2
hsa:369	hsa:5605	Gen A	2
hsa:369	hsa:5594	Gen A	4
hsa:369	hsa:5595	Gen A	4
hsa:369	hsa:10000	Gen B	6
hsa:369	hsa:207	Gen B	6
hsa:369	hsa:208	Gen B	6
hsa:369	hsa:572	Gen A	6
hsa:369	hsa:2475	Gen A	3
hsa:369	hsa:1147	Gen A	2
hsa:369	hsa:3551	Gen A	2
hsa:369	hsa:8517	Gen A	2
hsa:369	hsa:1978	Gen A	6
hsa:369	hsa:6198	Gen A	5
hsa:369	hsa:6199	Gen A	5
hsa:369	hsa:6774	Gen A	2
hsa:369	hsa:6776	Gen A	2
hsa:369	hsa:6777	Gen A	2
hsa:369	hsa:3815	Gen B	17
hsa:369	hsa:2885	Gen B	11
hsa:369	hsa:5290	Gen A	1
hsa:369	hsa:5291	Gen A	1
hsa:369	hsa:5293	Gen A	1
hsa:369	hsa:5295	Gen A	1
hsa:369	hsa:5296	Gen A	1
hsa:369	hsa:8503	Gen A	1
hsa:369	hsa:6654	Gen B	10
hsa:369	hsa:6655	Gen B	10
hsa:369	hsa:3265	Gen B	8
hsa:369	hsa:3845	Gen B	8
hsa:369	hsa:4893	Gen B	8
hsa:369	hsa:4790	Gen A	5
hsa:369	hsa:5970	Gen A	5
hsa:369	hsa:861	Gen B	13
hsa:369	hsa:3562	Gen A	6
hsa:369	hsa:1437	Gen A	6
hsa:369	hsa:4353	Gen A	6
hsa:369	hsa:1436	Gen A	6
hsa:369	hsa:6688	Gen A	2
hsa:369	hsa:5371	Gen B	13
hsa:369	hsa:5914	Gen B	13
hsa:369	hsa:4609	Gen A	6
hsa:369	hsa:7704	Gen B	13
hsa:369	hsa:597	Gen A	6
hsa:369	hsa:1053	Gen A	6
hsa:369	hsa:3728	Gen B	1
hsa:369	hsa:8900	Gen A	6
hsa:369	hsa:51176	Gen B	1
hsa:369	hsa:6932	Gen B	1
hsa:369	hsa:6934	Gen B	1
hsa:369	hsa:83439	Gen B	1
hsa:369	hsa:5467	Gen A	6
hsa:369	hsa:595	Gen A	6
hsa:369	hsa:11040	Gen A	6
hsa:369	hsa:5292	Gen A	6
hsa:369	hsa:862	Gen B	13
hsa:369	hsa:1050	Gen A	5
hsa:369	hsa:8864	Gen A	6
hsa:369	hsa:2209	Gen A	6
hsa:369	hsa:3684	Gen A	6
hsa:369	hsa:929	Gen A	6
hsa:369	hsa:2322	Gen B	24
hsa:369	hsa:1848	Gen A	6
hsa:5894	hsa:673	Draw	0
hsa:5894	hsa:5604	Gen A	2
hsa:5894	hsa:5605	Gen A	2
hsa:5894	hsa:5594	Gen A	4
hsa:5894	hsa:5595	Gen A	4
hsa:5894	hsa:10000	Gen B	6
hsa:5894	hsa:207	Gen B	6
hsa:5894	hsa:208	Gen B	6
hsa:5894	hsa:572	Gen A	6
hsa:5894	hsa:2475	Gen A	3
hsa:5894	hsa:1147	Gen A	2
hsa:5894	hsa:3551	Gen A	2
hsa:5894	hsa:8517	Gen A	2
hsa:5894	hsa:1978	Gen A	6
hsa:5894	hsa:6198	Gen A	5
hsa:5894	hsa:6199	Gen A	5
hsa:5894	hsa:6774	Gen A	2
hsa:5894	hsa:6776	Gen A	2
hsa:5894	hsa:6777	Gen A	2
hsa:5894	hsa:3815	Gen B	17
hsa:5894	hsa:2885	Gen B	11
hsa:5894	hsa:5290	Gen A	1
hsa:5894	hsa:5291	Gen A	1
hsa:5894	hsa:5293	Gen A	1
hsa:5894	hsa:5295	Gen A	1
hsa:5894	hsa:5296	Gen A	1
hsa:5894	hsa:8503	Gen A	1
hsa:5894	hsa:6654	Gen B	10
hsa:5894	hsa:6655	Gen B	10
hsa:5894	hsa:3265	Gen B	8
hsa:5894	hsa:3845	Gen B	8
hsa:5894	hsa:4893	Gen B	8
hsa:5894	hsa:4790	Gen A	5
hsa:5894	hsa:5970	Gen A	5
hsa:5894	hsa:861	Gen B	13
hsa:5894	hsa:3562	Gen A	6
hsa:5894	hsa:1437	Gen A	6
hsa:5894	hsa:4353	Gen A	6
hsa:5894	hsa:1436	Gen A	6
hsa:5894	hsa:6688	Gen A	2
hsa:5894	hsa:5371	Gen B	13
hsa:5894	hsa:5914	Gen B	13
hsa:5894	hsa:4609	Gen A	6
hsa:5894	hsa:7704	Gen B	13
hsa:5894	hsa:597	Gen A	6
hsa:5894	hsa:1053	Gen A	6
hsa:5894	hsa:3728	Gen B	1
hsa:5894	hsa:8900	Gen A	6
hsa:5894	hsa:51176	Gen B	1
hsa:5894	hsa:6932	Gen B	1
hsa:5894	hsa:6934	Gen B	1
hsa:5894	hsa:83439	Gen B	1
hsa:5894	hsa:5467	Gen A	6
hsa:5894	hsa:595	Gen A	6
hsa:5894	hsa:11040	Gen A	6
hsa:5894	hsa:5292	Gen A	6
hsa:5894	hsa:862	Gen B	13
hsa:5894	hsa:1050	Gen A	5
hsa:5894	hsa:8864	Gen A	6
hsa:5894	hsa:2209	Gen A	6
hsa:5894	hsa:3684	Gen A	6
hsa:5894	hsa:929	Gen A	6
hsa:5894	hsa:2322	Gen B	24
hsa:5894	hsa:1848	Gen A	6
hsa:673	hsa:5604	Gen A	2
hsa:673	hsa:5605	Gen A	2
hsa:673	hsa:5594	Gen A	4
hsa:673	hsa:5595	Gen A	4
hsa:673	hsa:10000	Gen B	6
hsa:673	hsa:207	Gen B	6
hsa:673	hsa:208	Gen B	6
hsa:673	hsa:572	Gen A	6
hsa:673	hsa:2475	Gen A	3
hsa:673	hsa:1147	Gen A	2
hsa:673	hsa:3551	Gen A	2
hsa:673	hsa:8517	Gen A	2
hsa:673	hsa:1978	Gen A	6
hsa:673	hsa:6198	Gen A	5
hsa:673	hsa:6199	Gen A	5
hsa:673	hsa:6774	Gen A	2
hsa:673	hsa:6776	Gen A	2
hsa:673	hsa:6777	Gen A	2
hsa:673	hsa:3815	Gen B	17
hsa:673	hsa:2885	Gen B	11
hsa:673	hsa:5290	Gen A	1
hsa:673	hsa:5291	Gen A	1
hsa:673	hsa:5293	Gen A	1
hsa:673	hsa:5295	Gen A	1
hsa:673	hsa:5296	Gen A	1
hsa:673	hsa:8503	Gen A	1
hsa:673	hsa:6654	Gen B	10
hsa:673	hsa:6655	Gen B	10
hsa:673	hsa:3265	Gen B	8
hsa:673	hsa:3845	Gen B	8
hsa:673	hsa:4893	Gen B	8
hsa:673	hsa:4790	Gen A	5
hsa:673	hsa:5970	Gen A	5
hsa:673	hsa:861	Gen B	13
hsa:673	hsa:3562	Gen A	6
hsa:673	hsa:1437	Gen A	6
hsa:673	hsa:4353	Gen A	6
hsa:673	hsa:1436	Gen A	6
hsa:673	hsa:6688	Gen A	2
hsa:673	hsa:5371	Gen B	13
hsa:673	hsa:5914	Gen B	13
hsa:673	hsa:4609	Gen A	6
hsa:673	hsa:7704	Gen B	13
hsa:673	hsa:597	Gen A	6
hsa:673	hsa:1053	Gen A	6
hsa:673	hsa:3728	Gen B	1
hsa:673	hsa:8900	Gen A	6
hsa:673	hsa:51176	Gen B	1
hsa:673	hsa:6932	Gen B	1
hsa:673	hsa:6934	Gen B	1
hsa:673	hsa:83439	Gen B	1
hsa:673	hsa:5467	Gen A	6
