Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	7
hsa:7157	hsa:1643	Gen A	7
hsa:7157	hsa:578	Gen A	7
hsa:7157	hsa:581	Gen A	7
hsa:7157	hsa:10912	Gen A	5
hsa:7157	hsa:1647	Gen A	5
hsa:7157	hsa:4616	Gen A	5
hsa:7157	hsa:1026	Gen A	7
hsa:7157	hsa:2932	Gen A	3
hsa:7157	hsa:1499	Gen A	4
hsa:7157	hsa:51176	Gen A	5
hsa:7157	hsa:6932	Gen A	5
hsa:7157	hsa:6934	Gen A	5
hsa:7157	hsa:83439	Gen A	5
hsa:7157	hsa:6608	Gen B	38
hsa:7157	hsa:51684	Gen B	39
hsa:7157	hsa:2735	Gen B	37
hsa:7157	hsa:2736	Gen B	37
hsa:7157	hsa:2737	Gen B	37
hsa:7157	hsa:51384	Gen B	29
hsa:7157	hsa:54361	Gen B	29
hsa:7157	hsa:7471	Gen B	29
hsa:7157	hsa:7472	Gen B	29
hsa:7157	hsa:7473	Gen B	29
hsa:7157	hsa:7474	Gen B	29
hsa:7157	hsa:7475	Gen B	29
hsa:7157	hsa:7476	Gen B	29
hsa:7157	hsa:7477	Gen B	29
hsa:7157	hsa:7478	Gen B	29
hsa:7157	hsa:7479	Gen B	29
hsa:7157	hsa:7480	Gen B	29
hsa:7157	hsa:7481	Gen B	29
hsa:7157	hsa:7482	Gen B	29
hsa:7157	hsa:7483	Gen B	29
hsa:7157	hsa:7484	Gen B	29
hsa:7157	hsa:80326	Gen B	29
hsa:7157	hsa:81029	Gen B	29
hsa:7157	hsa:89780	Gen B	29
hsa:7157	hsa:5727	Gen A	7
hsa:7157	hsa:8643	Gen A	7
hsa:7157	hsa:64399	Gen A	8
hsa:7157	hsa:650	Gen A	7
hsa:7157	hsa:652	Gen A	7
hsa:7157	hsa:11211	Gen B	10
hsa:7157	hsa:2535	Gen B	10
hsa:7157	hsa:7855	Gen B	10
hsa:7157	hsa:7976	Gen B	10
hsa:7157	hsa:8321	Gen B	10
hsa:7157	hsa:8322	Gen B	10
hsa:7157	hsa:8323	Gen B	10
hsa:7157	hsa:8324	Gen B	10
hsa:7157	hsa:8325	Gen B	10
hsa:7157	hsa:8326	Gen B	10
hsa:7157	hsa:1855	Draw	0
hsa:7157	hsa:1856	Draw	0
hsa:7157	hsa:1857	Draw	0
hsa:7157	hsa:6469	Gen A	8
hsa:7157	hsa:374654	Gen B	39
hsa:51426	hsa:1643	Draw	0
hsa:51426	hsa:578	Draw	0
hsa:51426	hsa:581	Draw	0
hsa:51426	hsa:10912	Gen B	2
hsa:51426	hsa:1647	Gen B	2
hsa:51426	hsa:4616	Gen B	2
hsa:51426	hsa:1026	Draw	0
hsa:51426	hsa:2932	Gen B	5
hsa:51426	hsa:1499	Gen B	4
hsa:51426	hsa:51176	Gen B	3
hsa:51426	hsa:6932	Gen B	3
hsa:51426	hsa:6934	Gen B	3
hsa:51426	hsa:83439	Gen B	3
hsa:51426	hsa:6608	Gen B	46
hsa:51426	hsa:51684	Gen B	47
hsa:51426	hsa:2735	Gen B	45
hsa:51426	hsa:2736	Gen B	45
hsa:51426	hsa:2737	Gen B	45
hsa:51426	hsa:51384	Gen B	37
hsa:51426	hsa:54361	Gen B	37
hsa:51426	hsa:7471	Gen B	37
hsa:51426	hsa:7472	Gen B	37
hsa:51426	hsa:7473	Gen B	37
hsa:51426	hsa:7474	Gen B	37
hsa:51426	hsa:7475	Gen B	37
hsa:51426	hsa:7476	Gen B	37
hsa:51426	hsa:7477	Gen B	37
hsa:51426	hsa:7478	Gen B	37
hsa:51426	hsa:7479	Gen B	37
hsa:51426	hsa:7480	Gen B	37
hsa:51426	hsa:7481	Gen B	37
hsa:51426	hsa:7482	Gen B	37
hsa:51426	hsa:7483	Gen B	37
hsa:51426	hsa:7484	Gen B	37
hsa:51426	hsa:80326	Gen B	37
hsa:51426	hsa:81029	Gen B	37
hsa:51426	hsa:89780	Gen B	37
hsa:51426	hsa:5727	Gen B	1
hsa:51426	hsa:8643	Gen B	1
hsa:51426	hsa:64399	Draw	0
hsa:51426	hsa:650	Gen B	1
hsa:51426	hsa:652	Gen B	1
hsa:51426	hsa:11211	Gen B	18
hsa:51426	hsa:2535	Gen B	18
hsa:51426	hsa:7855	Gen B	18
hsa:51426	hsa:7976	Gen B	18
hsa:51426	hsa:8321	Gen B	18
hsa:51426	hsa:8322	Gen B	18
hsa:51426	hsa:8323	Gen B	18
hsa:51426	hsa:8324	Gen B	18
hsa:51426	hsa:8325	Gen B	18
hsa:51426	hsa:8326	Gen B	18
hsa:51426	hsa:1855	Gen B	8
hsa:51426	hsa:1856	Gen B	8
hsa:51426	hsa:1857	Gen B	8
hsa:51426	hsa:6469	Draw	0
hsa:51426	hsa:374654	Gen B	47
hsa:1643	hsa:578	Draw	0
hsa:1643	hsa:581	Draw	0
hsa:1643	hsa:10912	Gen B	2
hsa:1643	hsa:1647	Gen B	2
hsa:1643	hsa:4616	Gen B	2
hsa:1643	hsa:1026	Draw	0
hsa:1643	hsa:2932	Gen B	5
hsa:1643	hsa:1499	Gen B	4
hsa:1643	hsa:51176	Gen B	3
hsa:1643	hsa:6932	Gen B	3
hsa:1643	hsa:6934	Gen B	3
hsa:1643	hsa:83439	Gen B	3
hsa:1643	hsa:6608	Gen B	46
hsa:1643	hsa:51684	Gen B	47
hsa:1643	hsa:2735	Gen B	45
hsa:1643	hsa:2736	Gen B	45
hsa:1643	hsa:2737	Gen B	45
hsa:1643	hsa:51384	Gen B	37
hsa:1643	hsa:54361	Gen B	37
hsa:1643	hsa:7471	Gen B	37
hsa:1643	hsa:7472	Gen B	37
hsa:1643	hsa:7473	Gen B	37
hsa:1643	hsa:7474	Gen B	37
hsa:1643	hsa:7475	Gen B	37
hsa:1643	hsa:7476	Gen B	37
hsa:1643	hsa:7477	Gen B	37
hsa:1643	hsa:7478	Gen B	37
hsa:1643	hsa:7479	Gen B	37
hsa:1643	hsa:7480	Gen B	37
hsa:1643	hsa:7481	Gen B	37
hsa:1643	hsa:7482	Gen B	37
hsa:1643	hsa:7483	Gen B	37
hsa:1643	hsa:7484	Gen B	37
hsa:1643	hsa:80326	Gen B	37
hsa:1643	hsa:81029	Gen B	37
hsa:1643	hsa:89780	Gen B	37
hsa:1643	hsa:5727	Gen B	1
hsa:1643	hsa:8643	Gen B	1
hsa:1643	hsa:64399	Draw	0
hsa:1643	hsa:650	Gen B	1
hsa:1643	hsa:652	Gen B	1
hsa:1643	hsa:11211	Gen B	18
hsa:1643	hsa:2535	Gen B	18
hsa:1643	hsa:7855	Gen B	18
hsa:1643	hsa:7976	Gen B	18
hsa:1643	hsa:8321	Gen B	18
hsa:1643	hsa:8322	Gen B	18
hsa:1643	hsa:8323	Gen B	18
hsa:1643	hsa:8324	Gen B	18
