Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	16
hsa:7157	hsa:1643	Gen A	16
hsa:7157	hsa:578	Gen A	16
hsa:7157	hsa:581	Gen A	16
hsa:7157	hsa:10912	Gen A	14
hsa:7157	hsa:1647	Gen A	14
hsa:7157	hsa:4616	Gen A	14
hsa:7157	hsa:1026	Gen B	2
hsa:7157	hsa:3265	Gen A	8
hsa:7157	hsa:3845	Gen A	8
hsa:7157	hsa:4893	Gen A	8
hsa:7157	hsa:369	Gen A	11
hsa:7157	hsa:5894	Gen A	11
hsa:7157	hsa:673	Gen A	11
hsa:7157	hsa:5604	Gen A	14
hsa:7157	hsa:5605	Gen A	14
hsa:7157	hsa:5594	Gen A	16
hsa:7157	hsa:5595	Gen A	16
hsa:7157	hsa:1019	Gen A	7
hsa:7157	hsa:1021	Gen A	7
hsa:7157	hsa:1029	Gen A	6
hsa:7157	hsa:10000	Gen A	5
hsa:7157	hsa:207	Gen A	5
hsa:7157	hsa:208	Gen A	5
hsa:7157	hsa:1027	Gen A	17
hsa:7157	hsa:572	Gen A	16
hsa:7157	hsa:4193	Gen A	16
hsa:7157	hsa:1147	Gen A	12
hsa:7157	hsa:3551	Gen A	12
hsa:7157	hsa:8517	Gen A	12
hsa:7157	hsa:595	Gen A	3
hsa:7157	hsa:5925	Gen A	4
hsa:7157	hsa:4088	Gen A	11
hsa:7157	hsa:4089	Gen A	11
hsa:7157	hsa:1869	Gen A	7
hsa:7157	hsa:1870	Gen A	7
hsa:7157	hsa:1871	Gen A	7
hsa:7157	hsa:1398	Gen B	16
hsa:7157	hsa:1399	Gen B	16
hsa:7157	hsa:5290	Gen B	16
hsa:7157	hsa:5291	Gen B	16
hsa:7157	hsa:5293	Gen B	16
hsa:7157	hsa:5295	Gen B	16
hsa:7157	hsa:5296	Gen B	16
hsa:7157	hsa:8503	Gen B	16
hsa:7157	hsa:867	Gen B	16
hsa:7157	hsa:9846	Gen B	16
hsa:7157	hsa:5781	Gen A	17
hsa:7157	hsa:6654	Gen A	6
hsa:7157	hsa:6655	Gen A	6
hsa:7157	hsa:2885	Gen B	16
hsa:7157	hsa:598	Gen A	17
hsa:7157	hsa:4792	Gen A	15
hsa:7157	hsa:4790	Gen A	15
hsa:7157	hsa:5970	Gen A	15
hsa:7157	hsa:6776	Gen A	15
hsa:7157	hsa:6777	Gen A	15
hsa:7157	hsa:7046	Gen A	13
hsa:7157	hsa:7048	Gen A	15
hsa:7157	hsa:3065	Gen A	12
hsa:7157	hsa:3066	Gen A	12
hsa:7157	hsa:2122	Gen A	12
hsa:7157	hsa:1487	Gen A	12
hsa:7157	hsa:1488	Gen A	12
hsa:7157	hsa:7040	Gen A	11
