Gen A	Gen B	Winner	Strength
hsa:374	hsa:1956	Gen B	52
hsa:374	hsa:2069	Draw	0
hsa:374	hsa:7039	Draw	0
hsa:374	hsa:1950	Draw	0
hsa:374	hsa:5290	Gen A	26
hsa:374	hsa:5291	Gen A	26
hsa:374	hsa:5293	Gen A	26
hsa:374	hsa:5295	Gen A	26
hsa:374	hsa:5296	Gen A	26
hsa:374	hsa:8503	Gen A	26
hsa:374	hsa:2885	Gen B	23
hsa:374	hsa:369	Gen A	42
hsa:374	hsa:5894	Gen A	42
hsa:374	hsa:673	Gen A	42
hsa:374	hsa:5604	Gen A	45
hsa:374	hsa:5605	Gen A	45
hsa:374	hsa:5594	Gen A	49
hsa:374	hsa:5595	Gen A	49
hsa:374	hsa:10000	Gen A	32
hsa:374	hsa:207	Gen A	32
hsa:374	hsa:208	Gen A	32
hsa:374	hsa:2475	Gen A	48
hsa:374	hsa:6198	Gen A	51
hsa:374	hsa:6199	Gen A	51
hsa:374	hsa:6654	Gen A	2
hsa:374	hsa:6655	Gen A	2
hsa:374	hsa:3265	Gen A	4
hsa:374	hsa:3845	Gen B	6
hsa:374	hsa:4893	Gen A	4
hsa:374	hsa:5898	Gen A	44
hsa:374	hsa:5899	Gen A	44
hsa:374	hsa:387	Gen A	46
hsa:374	hsa:5879	Gen A	46
hsa:374	hsa:5880	Gen A	46
hsa:374	hsa:5881	Gen A	46
hsa:374	hsa:27113	Gen A	52
hsa:374	hsa:596	Gen A	52
hsa:374	hsa:10018	Gen A	52
hsa:374	hsa:572	Gen A	50
hsa:374	hsa:5366	Gen A	52
hsa:374	hsa:4087	Gen A	49
hsa:374	hsa:4088	Gen A	49
hsa:374	hsa:7048	Gen A	49
hsa:374	hsa:581	Gen A	52
hsa:374	hsa:842	Gen A	50
hsa:374	hsa:2932	Gen A	38
hsa:374	hsa:51176	Gen A	46
hsa:374	hsa:6932	Gen A	46
hsa:374	hsa:6934	Gen A	46
hsa:374	hsa:83439	Gen A	46
hsa:374	hsa:1499	Gen A	40
hsa:374	hsa:595	Gen A	52
hsa:374	hsa:4609	Gen A	51
hsa:374	hsa:332	Gen A	52
hsa:374	hsa:7157	Gen A	44
hsa:374	hsa:51426	Gen A	53
hsa:374	hsa:1643	Gen A	53
hsa:374	hsa:578	Gen A	53
hsa:374	hsa:10912	Gen A	51
hsa:374	hsa:1647	Gen A	51
hsa:374	hsa:4616	Gen A	51
hsa:374	hsa:1026	Gen A	53
hsa:374	hsa:2353	Gen A	51
hsa:374	hsa:3725	Gen A	51
hsa:374	hsa:5599	Gen A	50
hsa:374	hsa:5601	Gen A	50
hsa:374	hsa:5602	Gen A	50
hsa:374	hsa:5900	Gen A	34
hsa:374	hsa:7046	Gen A	49
hsa:374	hsa:4089	Gen A	49
hsa:374	hsa:26060	Gen A	48
hsa:374	hsa:836	Gen A	49
hsa:374	hsa:1630	Gen A	49
hsa:1956	hsa:2069	Gen A	52
hsa:1956	hsa:7039	Gen A	52
hsa:1956	hsa:1950	Gen A	52
hsa:1956	hsa:5290	Gen A	25
hsa:1956	hsa:5291	Gen A	25
hsa:1956	hsa:5293	Gen A	25
hsa:1956	hsa:5295	Gen A	25
hsa:1956	hsa:5296	Gen A	25
hsa:1956	hsa:8503	Gen A	25
hsa:1956	hsa:2885	Gen B	24
hsa:1956	hsa:369	Gen A	41
hsa:1956	hsa:5894	Gen A	41
hsa:1956	hsa:673	Gen A	41
hsa:1956	hsa:5604	Gen A	44
hsa:1956	hsa:5605	Gen A	44
hsa:1956	hsa:5594	Gen A	48
hsa:1956	hsa:5595	Gen A	48
hsa:1956	hsa:10000	Gen A	31
hsa:1956	hsa:207	Gen A	31
hsa:1956	hsa:208	Gen A	31
hsa:1956	hsa:2475	Gen A	47
hsa:1956	hsa:6198	Gen A	50
hsa:1956	hsa:6199	Gen A	50
hsa:1956	hsa:6654	Gen A	1
hsa:1956	hsa:6655	Gen A	1
hsa:1956	hsa:3265	Gen A	3
hsa:1956	hsa:3845	Gen B	7
hsa:1956	hsa:4893	Gen A	3
hsa:1956	hsa:5898	Gen A	43
hsa:1956	hsa:5899	Gen A	43
hsa:1956	hsa:387	Gen A	45
hsa:1956	hsa:5879	Gen A	45
hsa:1956	hsa:5880	Gen A	45
hsa:1956	hsa:5881	Gen A	45
hsa:1956	hsa:27113	Gen A	51
hsa:1956	hsa:596	Gen A	51
hsa:1956	hsa:10018	Gen A	51
hsa:1956	hsa:572	Gen A	49
hsa:1956	hsa:5366	Gen A	51
hsa:1956	hsa:4087	Gen A	48
hsa:1956	hsa:4088	Gen A	48
hsa:1956	hsa:7048	Gen A	48
hsa:1956	hsa:581	Gen A	51
hsa:1956	hsa:842	Gen A	49
hsa:1956	hsa:2932	Gen A	37
hsa:1956	hsa:51176	Gen A	45
hsa:1956	hsa:6932	Gen A	45
hsa:1956	hsa:6934	Gen A	45
hsa:1956	hsa:83439	Gen A	45
hsa:1956	hsa:1499	Gen A	39
hsa:1956	hsa:595	Gen A	51
hsa:1956	hsa:4609	Gen A	50
hsa:1956	hsa:332	Gen A	51
hsa:1956	hsa:7157	Gen A	43
hsa:1956	hsa:51426	Gen A	52
hsa:1956	hsa:1643	Gen A	52
hsa:1956	hsa:578	Gen A	52
hsa:1956	hsa:10912	Gen A	50
hsa:1956	hsa:1647	Gen A	50
hsa:1956	hsa:4616	Gen A	50
hsa:1956	hsa:1026	Gen A	52
hsa:1956	hsa:2353	Gen A	50
hsa:1956	hsa:3725	Gen A	50
hsa:1956	hsa:5599	Gen A	49
hsa:1956	hsa:5601	Gen A	49
hsa:1956	hsa:5602	Gen A	49
hsa:1956	hsa:5900	Gen A	33
hsa:1956	hsa:7046	Gen A	48
hsa:1956	hsa:4089	Gen A	48
hsa:1956	hsa:26060	Gen A	47
hsa:1956	hsa:836	Gen A	48
hsa:1956	hsa:1630	Gen A	48
hsa:2069	hsa:7039	Draw	0
hsa:2069	hsa:1950	Draw	0
hsa:2069	hsa:5290	Gen A	26
hsa:2069	hsa:5291	Gen A	26
hsa:2069	hsa:5293	Gen A	26
hsa:2069	hsa:5295	Gen A	26
hsa:2069	hsa:5296	Gen A	26
hsa:2069	hsa:8503	Gen A	26
hsa:2069	hsa:2885	Gen B	23
hsa:2069	hsa:369	Gen A	42
hsa:2069	hsa:5894	Gen A	42
hsa:2069	hsa:673	Gen A	42
hsa:2069	hsa:5604	Gen A	45
hsa:2069	hsa:5605	Gen A	45
hsa:2069	hsa:5594	Gen A	49
hsa:2069	hsa:5595	Gen A	49
hsa:2069	hsa:10000	Gen A	32
hsa:2069	hsa:207	Gen A	32
hsa:2069	hsa:208	Gen A	32
hsa:2069	hsa:2475	Gen A	48
hsa:2069	hsa:6198	Gen A	51
hsa:2069	hsa:6199	Gen A	51
hsa:2069	hsa:6654	Gen A	2
hsa:2069	hsa:6655	Gen A	2
hsa:2069	hsa:3265	Gen A	4
hsa:2069	hsa:3845	Gen B	6
hsa:2069	hsa:4893	Gen A	4
hsa:2069	hsa:5898	Gen A	44
hsa:2069	hsa:5899	Gen A	44
hsa:2069	hsa:387	Gen A	46
hsa:2069	hsa:5879	Gen A	46
hsa:2069	hsa:5880	Gen A	46
hsa:2069	hsa:5881	Gen A	46
hsa:2069	hsa:27113	Gen A	52
hsa:2069	hsa:596	Gen A	52
hsa:2069	hsa:10018	Gen A	52
hsa:2069	hsa:572	Gen A	50
hsa:2069	hsa:5366	Gen A	52
hsa:2069	hsa:4087	Gen A	49
hsa:2069	hsa:4088	Gen A	49
hsa:2069	hsa:7048	Gen A	49
hsa:2069	hsa:581	Gen A	52
hsa:2069	hsa:842	Gen A	50
hsa:2069	hsa:2932	Gen A	38
hsa:2069	hsa:51176	Gen A	46
hsa:2069	hsa:6932	Gen A	46
hsa:2069	hsa:6934	Gen A	46
hsa:2069	hsa:83439	Gen A	46
hsa:2069	hsa:1499	Gen A	40
hsa:2069	hsa:595	Gen A	52
hsa:2069	hsa:4609	Gen A	51
hsa:2069	hsa:332	Gen A	52
hsa:2069	hsa:7157	Gen A	44
hsa:2069	hsa:51426	Gen A	53
hsa:2069	hsa:1643	Gen A	53
hsa:2069	hsa:578	Gen A	53
hsa:2069	hsa:10912	Gen A	51
hsa:2069	hsa:1647	Gen A	51
hsa:2069	hsa:4616	Gen A	51
hsa:2069	hsa:1026	Gen A	53
hsa:2069	hsa:2353	Gen A	51
hsa:2069	hsa:3725	Gen A	51
hsa:2069	hsa:5599	Gen A	50
hsa:2069	hsa:5601	Gen A	50
hsa:2069	hsa:5602	Gen A	50
hsa:2069	hsa:5900	Gen A	34
hsa:2069	hsa:7046	Gen A	49
hsa:2069	hsa:4089	Gen A	49
hsa:2069	hsa:26060	Gen A	48
hsa:2069	hsa:836	Gen A	49
hsa:2069	hsa:1630	Gen A	49
hsa:7039	hsa:1950	Draw	0
hsa:7039	hsa:5290	Gen A	26
hsa:7039	hsa:5291	Gen A	26
hsa:7039	hsa:5293	Gen A	26
hsa:7039	hsa:5295	Gen A	26
hsa:7039	hsa:5296	Gen A	26
