Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	7
hsa:7157	hsa:1643	Gen A	7
hsa:7157	hsa:578	Gen A	7
hsa:7157	hsa:581	Gen A	7
hsa:7157	hsa:10912	Gen A	5
hsa:7157	hsa:1647	Gen A	5
hsa:7157	hsa:4616	Gen A	5
hsa:7157	hsa:1026	Gen A	7
hsa:7157	hsa:369	Gen A	1
hsa:7157	hsa:5894	Gen A	1
hsa:7157	hsa:673	Gen A	1
hsa:7157	hsa:3845	Gen B	2
hsa:7157	hsa:5604	Gen A	4
hsa:7157	hsa:5605	Gen A	4
hsa:7157	hsa:5594	Gen A	6
hsa:7157	hsa:5595	Gen A	6
hsa:7157	hsa:2002	Gen A	8
hsa:7157	hsa:1950	Gen B	13
hsa:7157	hsa:1956	Gen B	12
hsa:7157	hsa:10000	Gen A	3
hsa:7157	hsa:207	Gen A	3
hsa:7157	hsa:208	Gen A	3
hsa:7157	hsa:2309	Gen A	8
hsa:7157	hsa:572	Gen A	8
hsa:7157	hsa:842	Gen A	8
hsa:7157	hsa:2885	Gen B	5
hsa:7157	hsa:5290	Gen A	3
hsa:7157	hsa:5291	Gen A	3
hsa:7157	hsa:5293	Gen A	3
hsa:7157	hsa:5295	Gen A	3
hsa:7157	hsa:5296	Gen A	3
hsa:7157	hsa:8503	Gen A	3
hsa:7157	hsa:6654	Gen B	4
hsa:7157	hsa:6655	Gen B	4
hsa:7157	hsa:3265	Gen B	2
hsa:7157	hsa:4893	Gen B	2
hsa:7157	hsa:5170	Gen A	2
hsa:7157	hsa:51176	Gen A	3
hsa:7157	hsa:6932	Gen A	3
hsa:7157	hsa:6934	Gen A	3
hsa:7157	hsa:83439	Gen A	3
hsa:7157	hsa:595	Gen A	8
hsa:7157	hsa:4609	Gen A	8
hsa:7157	hsa:3611	Gen A	2
hsa:7157	hsa:2932	Gen B	3
hsa:7157	hsa:1499	Gen B	3
hsa:7157	hsa:8312	Gen B	3
hsa:7157	hsa:8313	Gen B	3
hsa:7157	hsa:10297	Gen B	3
hsa:7157	hsa:324	Gen B	3
hsa:51426	hsa:1643	Draw	0
hsa:51426	hsa:578	Draw	0
hsa:51426	hsa:581	Draw	0
hsa:51426	hsa:10912	Gen B	2
hsa:51426	hsa:1647	Gen B	2
hsa:51426	hsa:4616	Gen B	2
hsa:51426	hsa:1026	Draw	0
hsa:51426	hsa:369	Gen B	7
hsa:51426	hsa:5894	Gen B	7
hsa:51426	hsa:673	Gen B	7
hsa:51426	hsa:3845	Gen B	10
hsa:51426	hsa:5604	Gen B	4
hsa:51426	hsa:5605	Gen B	4
hsa:51426	hsa:5594	Gen B	2
hsa:51426	hsa:5595	Gen B	2
hsa:51426	hsa:2002	Draw	0
hsa:51426	hsa:1950	Gen B	21
hsa:51426	hsa:1956	Gen B	20
hsa:51426	hsa:10000	Gen B	5
hsa:51426	hsa:207	Gen B	5
hsa:51426	hsa:208	Gen B	5
hsa:51426	hsa:2309	Draw	0
hsa:51426	hsa:572	Draw	0
hsa:51426	hsa:842	Draw	0
hsa:51426	hsa:2885	Gen B	13
hsa:51426	hsa:5290	Gen B	5
hsa:51426	hsa:5291	Gen B	5
hsa:51426	hsa:5293	Gen B	5
hsa:51426	hsa:5295	Gen B	5
hsa:51426	hsa:5296	Gen B	5
hsa:51426	hsa:8503	Gen B	5
hsa:51426	hsa:6654	Gen B	12
hsa:51426	hsa:6655	Gen B	12
hsa:51426	hsa:3265	Gen B	10
hsa:51426	hsa:4893	Gen B	10
hsa:51426	hsa:5170	Gen B	6
hsa:51426	hsa:51176	Gen B	5
hsa:51426	hsa:6932	Gen B	5
hsa:51426	hsa:6934	Gen B	5
hsa:51426	hsa:83439	Gen B	5
hsa:51426	hsa:595	Draw	0
hsa:51426	hsa:4609	Draw	0
hsa:51426	hsa:3611	Gen B	6
hsa:51426	hsa:2932	Gen B	11
hsa:51426	hsa:1499	Gen B	11
hsa:51426	hsa:8312	Gen B	11
hsa:51426	hsa:8313	Gen B	11
hsa:51426	hsa:10297	Gen B	11
hsa:51426	hsa:324	Gen B	11
hsa:1643	hsa:578	Draw	0
hsa:1643	hsa:581	Draw	0
hsa:1643	hsa:10912	Gen B	2
hsa:1643	hsa:1647	Gen B	2
hsa:1643	hsa:4616	Gen B	2
hsa:1643	hsa:1026	Draw	0
hsa:1643	hsa:369	Gen B	7
hsa:1643	hsa:5894	Gen B	7
hsa:1643	hsa:673	Gen B	7
hsa:1643	hsa:3845	Gen B	10
hsa:1643	hsa:5604	Gen B	4
hsa:1643	hsa:5605	Gen B	4
hsa:1643	hsa:5594	Gen B	2
hsa:1643	hsa:5595	Gen B	2
hsa:1643	hsa:2002	Draw	0
hsa:1643	hsa:1950	Gen B	21
hsa:1643	hsa:1956	Gen B	20
hsa:1643	hsa:10000	Gen B	5
hsa:1643	hsa:207	Gen B	5
hsa:1643	hsa:208	Gen B	5
hsa:1643	hsa:2309	Draw	0
hsa:1643	hsa:572	Draw	0
hsa:1643	hsa:842	Draw	0
hsa:1643	hsa:2885	Gen B	13
hsa:1643	hsa:5290	Gen B	5
hsa:1643	hsa:5291	Gen B	5
hsa:1643	hsa:5293	Gen B	5
hsa:1643	hsa:5295	Gen B	5
hsa:1643	hsa:5296	Gen B	5
hsa:1643	hsa:8503	Gen B	5
hsa:1643	hsa:6654	Gen B	12
hsa:1643	hsa:6655	Gen B	12
hsa:1643	hsa:3265	Gen B	10
hsa:1643	hsa:4893	Gen B	10
hsa:1643	hsa:5170	Gen B	6
hsa:1643	hsa:51176	Gen B	5
hsa:1643	hsa:6932	Gen B	5
hsa:1643	hsa:6934	Gen B	5
hsa:1643	hsa:83439	Gen B	5
hsa:1643	hsa:595	Draw	0
hsa:1643	hsa:4609	Draw	0
hsa:1643	hsa:3611	Gen B	6
hsa:1643	hsa:2932	Gen B	11
hsa:1643	hsa:1499	Gen B	11
hsa:1643	hsa:8312	Gen B	11
hsa:1643	hsa:8313	Gen B	11
hsa:1643	hsa:10297	Gen B	11
hsa:1643	hsa:324	Gen B	11
hsa:578	hsa:581	Draw	0
hsa:578	hsa:10912	Gen B	2
hsa:578	hsa:1647	Gen B	2
hsa:578	hsa:4616	Gen B	2
hsa:578	hsa:1026	Draw	0
hsa:578	hsa:369	Gen B	7
hsa:578	hsa:5894	Gen B	7
hsa:578	hsa:673	Gen B	7
hsa:578	hsa:3845	Gen B	10
hsa:578	hsa:5604	Gen B	4
hsa:578	hsa:5605	Gen B	4
hsa:578	hsa:5594	Gen B	2
hsa:578	hsa:5595	Gen B	2
hsa:578	hsa:2002	Draw	0
hsa:578	hsa:1950	Gen B	21
hsa:578	hsa:1956	Gen B	20
hsa:578	hsa:10000	Gen B	5
hsa:578	hsa:207	Gen B	5
hsa:578	hsa:208	Gen B	5
hsa:578	hsa:2309	Draw	0
