Gen A	Gen B	Winner	Strength
hsa:7157	hsa:51426	Gen A	16
hsa:7157	hsa:1643	Gen A	16
hsa:7157	hsa:578	Gen A	16
hsa:7157	hsa:581	Gen A	16
hsa:7157	hsa:10912	Gen A	14
hsa:7157	hsa:1647	Gen A	14
hsa:7157	hsa:4616	Gen A	14
hsa:7157	hsa:1026	Gen B	2
hsa:7157	hsa:595	Gen B	1
hsa:7157	hsa:3265	Gen A	2
hsa:7157	hsa:3845	Gen A	2
hsa:7157	hsa:4893	Gen A	2
hsa:7157	hsa:5290	Gen A	12
hsa:7157	hsa:5291	Gen A	12
hsa:7157	hsa:5293	Gen A	12
hsa:7157	hsa:5295	Gen A	12
hsa:7157	hsa:5296	Gen A	12
hsa:7157	hsa:8503	Gen A	12
hsa:7157	hsa:369	Gen A	11
hsa:7157	hsa:5894	Gen A	11
hsa:7157	hsa:673	Gen A	11
hsa:7157	hsa:1869	Gen A	7
hsa:7157	hsa:1870	Gen A	7
hsa:7157	hsa:1871	Gen A	7
hsa:7157	hsa:5925	Gen A	4
hsa:7157	hsa:1019	Gen A	7
hsa:7157	hsa:1021	Gen A	7
hsa:7157	hsa:10000	Gen A	14
hsa:7157	hsa:207	Gen A	14
hsa:7157	hsa:208	Gen A	14
hsa:7157	hsa:2475	Gen A	17
hsa:7157	hsa:5604	Gen A	14
hsa:7157	hsa:5605	Gen A	14
hsa:7157	hsa:5594	Gen A	16
hsa:7157	hsa:5595	Gen A	16
hsa:7157	hsa:6654	Draw	0
hsa:7157	hsa:6655	Draw	0
hsa:7157	hsa:2885	Gen B	1
hsa:7157	hsa:25759	Gen B	5
hsa:7157	hsa:399694	Gen B	5
hsa:7157	hsa:53358	Gen B	5
hsa:7157	hsa:6464	Gen B	5
hsa:7157	hsa:5578	Gen B	1
hsa:7157	hsa:5579	Gen B	1
hsa:7157	hsa:5582	Gen B	1
hsa:7157	hsa:57118	Gen B	6
hsa:7157	hsa:57172	Gen B	6
hsa:7157	hsa:814	Gen B	6
hsa:7157	hsa:815	Gen B	6
hsa:7157	hsa:816	Gen B	6
hsa:7157	hsa:817	Gen B	6
hsa:7157	hsa:818	Gen B	6
hsa:7157	hsa:8536	Gen B	6
hsa:7157	hsa:163688	Gen B	13
hsa:7157	hsa:51806	Gen B	13
hsa:7157	hsa:801	Gen B	13
hsa:7157	hsa:805	Gen B	13
hsa:7157	hsa:808	Gen B	13
hsa:7157	hsa:810	Gen B	13
hsa:7157	hsa:91860	Gen B	13
hsa:7157	hsa:1029	Gen A	6
hsa:7157	hsa:4193	Gen A	16
hsa:7157	hsa:3480	Gen B	8
hsa:7157	hsa:5335	Gen A	16
hsa:7157	hsa:5336	Gen A	16
hsa:7157	hsa:5156	Gen B	9
